dataset,category,ratio_name,ratio_value,status,qps_num,recall_num,time_num_ms,qps_den,recall_den,time_den_ms
Reviews,Small Length,SmartRoute/ACORN-1,inf,"Infinity (Num>=0.9, Den Failed)",4531.3251,0.9256,110.3430,,,
Reviews,Small Length,SmartRoute/ACORN-gamma,inf,"Infinity (Num>=0.9, Den Failed)",4531.3251,0.9256,110.3430,,,
Reviews,Small Length,SmartRoute/ACORN-gamma-improved,5.1834,OK (Recall>=0.9),4531.3251,0.9256,110.3430,874.1962,0.9016,571.9540
Reviews,Small Length,SmartRoute/UNG,167.0419,OK (Recall>=0.9),4531.3251,0.9256,110.3430,27.1269,0.9256,18431.9000
Reviews,Large Length,SmartRoute/ACORN-1,inf,"Infinity (Num>=0.9, Den Failed)",10194.9686,0.9400,49.0438,,,
Reviews,Large Length,SmartRoute/ACORN-gamma,inf,"Infinity (Num>=0.9, Den Failed)",10194.9686,0.9400,49.0438,,,
Reviews,Large Length,SmartRoute/ACORN-gamma-improved,4.7772,OK (Recall>=0.9),10194.9686,0.9400,49.0438,2134.0800,0.9014,234.2930
Reviews,Large Length,SmartRoute/UNG,1.8066,OK (Recall>=0.9),10194.9686,0.9400,49.0438,5643.2581,0.9202,88.6013
Reviews,Small p_pass,SmartRoute/ACORN-1,inf,"Infinity (Num>=0.9, Den Failed)",10706.4547,0.9998,46.7008,,,
Reviews,Small p_pass,SmartRoute/ACORN-gamma,inf,"Infinity (Num>=0.9, Den Failed)",10706.4547,0.9998,46.7008,,,
Reviews,Small p_pass,SmartRoute/ACORN-gamma-improved,12.8740,OK (Recall>=0.9),10706.4547,0.9998,46.7008,831.6340,0.9000,601.2260
Reviews,Small p_pass,SmartRoute/UNG,1.0173,OK (Recall>=0.9),10706.4547,0.9998,46.7008,10524.1888,0.9998,47.5096
Reviews,Large p_pass,SmartRoute/ACORN-1,inf,"Infinity (Num>=0.9, Den Failed)",3425.3848,0.9140,145.9690,,,
Reviews,Large p_pass,SmartRoute/ACORN-gamma,inf,"Infinity (Num>=0.9, Den Failed)",3425.3848,0.9140,145.9690,,,
Reviews,Large p_pass,SmartRoute/ACORN-gamma-improved,2.3282,OK (Recall>=0.9),3425.3848,0.9140,145.9690,1471.2719,0.9064,339.8420
